Id	Convergent_Subs	OnlyInGpId	OnlyOutGpId	OneInOutId	%Convergent_Subs	%OnlyInGpId	%OnlyOutGpId	%OneInOutId
ENST00000040663	1	0	0	0	0.271739130434783	0	0	0
ENST00000040738	1	0	0	1	0.032808398950131	0	0	0.032808398950131
ENST00000040877	0	1	1	0	0	0.076045627376426	0.076045627376426	0
ENST00000046087	0	0	0	1	0	0	0	0.284900284900285
ENST00000053243	0	0	0	0	0	0	0	0
ENST00000053468	0	0	0	0	0	0	0	0
ENST00000053867	1	1	0	0	0.168634064080944	0.168634064080944	0	0
ENST00000054650	0	0	0	0	0	0	0	0
ENST00000054666	0	0	0	0	0	0	0	0
ENST00000054668	0	0	0	0	0	0	0	0
ENST00000055077	0	0	0	0	0	0	0	0
ENST00000055335	0	0	0	1	0	0	0	0.15527950310559
ENST00000055682	0	0	0	1	0	0	0	0.065963060686016
ENST00000056233	0	1	0	0	0	0.153846153846154	0	0
ENST00000064571	0	0	0	0	0	0	0	0
ENST00000064778	0	0	0	0	0	0	0	0
ENST00000064780	1	0	0	0	0.232558139534884	0	0	0
ENST00000070846	1	0	0	0	0.126103404791929	0	0	0
ENST00000072644	0	0	0	0	0	0	0	0
ENST00000072869	1	0	0	1	0.165837479270315	0	0	0.165837479270315
ENST00000074304	1	0	0	0	0.102880658436214	0	0	0
ENST00000078445	0	0	0	0	0	0	0	0
ENST00000078527	0	0	0	0	0	0	0	0
ENST00000081029	0	0	0	0	0	0	0	0
ENST00000083182	0	0	0	0	0	0	0	0
ENST00000084795	0	0	0	0	0	0	0	0
ENST00000084798	0	0	0	0	0	0	0	0
ENST00000085068	0	0	0	0	0	0	0	0
ENST00000155840	0	0	0	0	0	0	0	0
ENST00000155926	0	0	0	0	0	0	0	0
ENST00000156109	0	0	0	0	0	0	0	0
ENST00000156471	0	0	0	0	0	0	0	0
ENST00000157600	0	0	0	0	0	0	0	0
ENST00000157812	2	0	0	0	0.496277915632754	0	0	0
ENST00000158009	0	0	0	0	0	0	0	0
ENST00000158762	0	0	0	0	0	0	0	0
ENST00000158771	0	0	0	0	0	0	0	0
ENST00000159060	1	0	1	0	0.176056338028169	0	0.176056338028169	0
ENST00000159087	0	0	0	0	0	0	0	0
ENST00000160373	2	0	0	0	0.120264582080577	0	0	0
ENST00000160827	0	0	0	0	0	0	0	0
ENST00000161863	0	0	1	0	0	0	0.06993006993007	0
ENST00000162044	0	0	0	1	0	0	0	0.268096514745308
ENST00000162391	0	0	0	0	0	0	0	0
ENST00000163416	0	0	0	0	0	0	0	0
ENST00000164024	1	1	0	2	0.032310177705977	0.032310177705977	0	0.064620355411955
ENST00000164133	1	0	0	0	0.235849056603774	0	0	0
ENST00000164139	0	0	0	0	0	0	0	0
ENST00000164227	0	0	0	0	0	0	0	0
ENST00000165524	0	0	0	0	0	0	0	0
ENST00000166244	0	0	0	0	0	0	0	0
ENST00000166345	0	0	0	0	0	0	0	0
ENST00000167106	0	0	0	0	0	0	0	0
ENST00000168216	0	0	0	0	0	0	0	0
ENST00000169298	0	0	0	0	0	0	0	0
ENST00000169551	0	0	0	0	0	0	0	0
ENST00000170168	1	0	0	1	0.096805421103582	0	0	0.096805421103582
ENST00000170447	0	0	0	0	0	0	0	0
ENST00000170564	0	0	0	0	0	0	0	0
ENST00000171111	0	0	0	0	0	0	0	0
ENST00000172229	0	0	0	0	0	0	0	0
ENST00000173527	0	0	0	0	0	0	0	0
ENST00000174618	0	0	0	0	0	0	0	0
ENST00000175091	0	0	0	0	0	0	0	0
ENST00000175756	0	0	0	0	0	0	0	0
ENST00000176183	1	0	0	0	0.29940119760479	0	0	0
ENST00000176763	1	1	0	0	0.109529025191676	0.109529025191676	0	0
ENST00000177694	0	0	0	0	0	0	0	0
ENST00000177742	0	0	0	0	0	0	0	0
ENST00000178638	0	0	0	0	0	0	0	0
ENST00000178640	0	0	0	0	0	0	0	0
ENST00000179259	0	0	0	0	0	0	0	0
ENST00000180166	0	0	0	0	0	0	0	0
ENST00000180173	0	0	0	1	0	0	0	0.151515151515152
ENST00000181383	0	1	0	0	0	0.236406619385343	0	0
ENST00000181796	1	0	0	0	0.326797385620915	0	0	0
ENST00000181839	0	0	0	0	0	0	0	0
ENST00000182290	0	0	0	0	0	0	0	0
ENST00000182527	0	0	0	0	0	0	0	0
ENST00000185150	0	0	0	0	0	0	0	0
ENST00000185206	1	0	0	0	0.245700245700246	0	0	0
ENST00000186436	0	0	0	0	0	0	0	0
ENST00000187762	0	0	0	0	0	0	0	0
ENST00000188312	0	0	0	0	0	0	0	0
ENST00000192314	1	1	0	0	0.25706940874036	0.25706940874036	0	0
ENST00000192788	0	0	0	3	0	0	0	0.208333333333333
ENST00000193322	0	0	0	0	0	0	0	0
ENST00000193391	0	2	0	0	0	0.171673819742489	0	0
ENST00000194097	2	1	0	0	0.204708290685773	0.102354145342886	0	0
ENST00000194118	0	0	0	0	0	0	0	0
ENST00000194130	0	0	0	1	0	0	0	0.168067226890756
ENST00000194530	0	0	0	0	0	0	0	0
ENST00000194900	0	0	0	0	0	0	0	0
ENST00000196061	1	0	0	0	0.167224080267559	0	0	0
ENST00000196371	0	0	0	0	0	0	0	0
ENST00000197268	1	0	0	0	0.165016501650165	0	0	0
ENST00000198939	1	0	0	0	0.130039011703511	0	0	0
ENST00000199320	0	0	0	0	0	0	0	0
ENST00000199447	1	1	0	3	0.170068027210884	0.170068027210884	0	0.510204081632653
ENST00000199448	0	0	0	1	0	0	0	0.467289719626168
ENST00000199706	0	0	0	0	0	0	0	0
ENST00000199814	0	0	0	0	0	0	0	0
ENST00000199936	0	0	0	0	0	0	0	0
ENST00000200135	0	0	0	0	0	0	0	0
ENST00000200181	0	0	0	0	0	0	0	0
ENST00000200453	1	0	1	2	0.150602409638554	0	0.150602409638554	0.301204819277108
ENST00000200457	0	0	0	0	0	0	0	0
ENST00000200557	0	0	0	0	0	0	0	0
ENST00000200676	0	0	0	0	0	0	0	0
ENST00000201031	0	0	0	0	0	0	0	0
ENST00000201586	0	0	0	0	0	0	0	0
ENST00000201647	0	0	0	0	0	0	0	0
ENST00000201979	0	0	0	0	0	0	0	0
ENST00000202017	0	0	0	0	0	0	0	0
ENST00000202556	1	0	0	0	0.09478672985782	0	0	0
ENST00000202677	1	0	0	0	0.057077625570776	0	0	0
ENST00000202816	0	0	0	2	0	0	0	0.240096038415366
ENST00000202967	0	1	0	0	0	0.319488817891374	0	0
ENST00000203001	0	1	0	0	0	0.201207243460765	0	0
ENST00000203407	0	0	0	0	0	0	0	0
ENST00000203556	0	0	0	1	0	0	0	0.130378096479791
ENST00000203629	1	1	0	0	0.277008310249307	0.277008310249307	0	0
ENST00000203630	0	0	0	0	0	0	0	0
ENST00000203664	0	0	0	0	0	0	0	0
ENST00000204517	0	0	0	0	0	0	0	0
ENST00000204549	0	1	0	0	0	0.246305418719212	0	0
ENST00000204566	0	0	0	0	0	0	0	0
ENST00000204604	1	0	0	1	0.120336943441637	0	0	0.120336943441637
ENST00000204679	0	0	0	0	0	0	0	0
ENST00000204961	0	0	0	0	0	0	0	0
ENST00000205061	1	0	0	0	0.093023255813954	0	0	0
ENST00000205143	1	0	0	3	0.162074554294976	0	0	0.486223662884927
ENST00000205194	0	0	0	0	0	0	0	0
ENST00000205214	0	0	0	0	0	0	0	0
ENST00000205402	0	0	0	0	0	0	0	0
ENST00000205636	0	0	0	1	0	0	0	0.546448087431694
ENST00000205948	0	0	0	0	0	0	0	0
ENST00000206020	0	0	0	0	0	0	0	0
ENST00000206380	0	0	0	0	0	0	0	0
ENST00000206423	0	1	0	1	0	0.1085776330076	0	0.1085776330076
ENST00000206513	0	0	0	0	0	0	0	0
ENST00000206542	0	0	0	0	0	0	0	0
ENST00000206765	0	0	0	0	0	0	0	0
ENST00000207457	0	0	0	0	0	0	0	0
ENST00000209728	0	0	0	0	0	0	0	0
ENST00000209873	0	0	0	0	0	0	0	0
ENST00000209875	0	0	0	0	0	0	0	0
ENST00000209884	0	0	0	0	0	0	0	0
ENST00000210187	0	0	0	0	0	0	0	0
ENST00000210313	0	0	0	0	0	0	0	0
ENST00000210444	0	0	0	0	0	0	0	0
ENST00000210633	0	0	0	0	0	0	0	0
ENST00000211314	0	0	0	0	0	0	0	0
ENST00000211413	0	0	0	0	0	0	0	0
ENST00000211998	0	0	0	0	0	0	0	0
ENST00000212015	0	0	0	0	0	0	0	0
ENST00000212355	0	0	0	0	0	0	0	0
ENST00000214869	0	0	0	0	0	0	0	0
ENST00000215061	0	0	0	0	0	0	0	0
ENST00000215071	0	0	0	0	0	0	0	0
ENST00000215368	0	0	0	0	0	0	0	0
ENST00000215530	0	0	0	0	0	0	0	0
ENST00000215531	0	0	0	0	0	0	0	0
ENST00000215570	0	0	0	0	0	0	0	0
ENST00000215582	2	0	0	0	0.301659125188537	0	0	0
ENST00000215727	0	1	0	0	0	0.203252032520325	0	0
ENST00000215730	0	0	0	0	0	0	0	0
ENST00000215742	0	0	0	0	0	0	0	0
ENST00000215743	0	0	0	1	0	0	0	0.211864406779661
ENST00000215754	0	0	0	0	0	0	0	0
ENST00000215781	0	0	0	0	0	0	0	0
ENST00000215793	0	0	0	0	0	0	0	0
ENST00000215829	0	0	0	0	0	0	0	0
ENST00000215832	0	0	0	0	0	0	0	0
ENST00000215838	0	0	0	2	0	0	0	0.468384074941452
ENST00000215882	0	0	0	0	0	0	0	0
ENST00000215885	0	1	0	0	0	0.196463654223969	0	0
ENST00000215906	0	0	0	0	0	0	0	0
ENST00000215912	0	0	0	0	0	0	0	0
ENST00000215917	0	1	0	0	0	0.32258064516129	0	0
ENST00000215941	0	0	0	0	0	0	0	0
ENST00000215957	0	0	0	1	0	0	0	0.137551581843191
ENST00000216024	0	0	0	0	0	0	0	0
ENST00000216027	1	0	0	0	0.425531914893617	0	0	0
ENST00000216039	0	0	0	0	0	0	0	0
ENST00000216061	1	0	0	0	0.107411385606874	0	0	0
ENST00000216068	0	0	0	0	0	0	0	0
ENST00000216071	0	0	0	0	0	0	0	0
ENST00000216075	0	0	0	0	0	0	0	0
ENST00000216085	0	0	0	0	0	0	0	0
ENST00000216101	0	0	0	0	0	0	0	0
ENST00000216106	0	0	0	0	0	0	0	0
ENST00000216115	0	0	0	0	0	0	0	0
ENST00000216117	0	0	0	0	0	0	0	0
ENST00000216121	0	0	0	0	0	0	0	0
ENST00000216124	0	0	0	0	0	0	0	0
ENST00000216127	0	0	0	0	0	0	0	0
ENST00000216129	0	0	0	0	0	0	0	0
ENST00000216139	0	0	0	1	0	0	0	0.239808153477218
ENST00000216144	0	0	0	0	0	0	0	0
ENST00000216160	0	0	0	0	0	0	0	0
ENST00000216181	0	0	0	0	0	0	0	0
ENST00000216190	0	0	0	0	0	0	0	0
ENST00000216194	0	0	0	0	0	0	0	0
ENST00000216200	0	0	0	0	0	0	0	0
ENST00000216214	0	0	0	1	0	0	0	0.280112044817927
ENST00000216218	0	0	0	0	0	0	0	0
ENST00000216223	1	0	0	0	0.222222222222222	0	0	0
ENST00000216225	0	0	0	0	0	0	0	0
ENST00000216237	0	0	0	0	0	0	0	0
ENST00000216241	0	0	0	0	0	0	0	0
ENST00000216252	0	0	0	0	0	0	0	0
ENST00000216259	0	0	0	0	0	0	0	0
ENST00000216264	0	1	0	1	0	0.248756218905473	0	0.248756218905473
ENST00000216268	0	0	0	0	0	0	0	0
ENST00000216271	0	1	0	0	0	0.158730158730159	0	0
ENST00000216274	0	1	0	0	0	0.199600798403194	0	0
ENST00000216277	0	0	0	0	0	0	0	0
ENST00000216294	0	0	0	1	0	0	0	0.271739130434783
ENST00000216297	0	0	0	0	0	0	0	0
ENST00000216361	0	0	0	0	0	0	0	0
ENST00000216366	0	0	0	0	0	0	0	0
ENST00000216367	0	0	0	0	0	0	0	0
ENST00000216373	0	0	0	0	0	0	0	0
ENST00000216392	0	0	0	0	0	0	0	0
ENST00000216410	0	0	0	0	0	0	0	0
ENST00000216420	1	0	0	0	0.301204819277108	0	0	0
ENST00000216442	0	0	0	0	0	0	0	0
ENST00000216446	0	0	0	0	0	0	0	0
ENST00000216452	0	0	0	0	0	0	0	0
ENST00000216455	0	0	0	0	0	0	0	0
ENST00000216468	0	0	0	0	0	0	0	0
ENST00000216471	3	0	0	0	0.445103857566766	0	0	0
ENST00000216479	0	0	0	0	0	0	0	0
ENST00000216484	0	0	0	0	0	0	0	0
ENST00000216487	2	0	0	0	0.228050171037628	0	0	0
ENST00000216489	0	0	0	0	0	0	0	0
ENST00000216492	0	1	0	0	0	0.22075055187638	0	0
ENST00000216540	0	0	0	0	0	0	0	0
ENST00000216602	0	0	0	0	0	0	0	0
ENST00000216639	0	0	1	0	0	0	0.258397932816537	0
ENST00000216733	0	0	0	0	0	0	0	0
ENST00000216797	0	0	0	0	0	0	0	0
ENST00000216807	0	0	0	0	0	0	0	0
ENST00000216832	0	0	0	0	0	0	0	0
ENST00000216862	0	0	0	0	0	0	0	0
ENST00000216923	0	0	0	0	0	0	0	0
ENST00000216962	0	0	0	0	0	0	0	0
ENST00000216968	1	0	0	0	0.434782608695652	0	0	0
ENST00000217026	0	0	1	0	0	0	0.144927536231884	0
ENST00000217043	0	0	0	0	0	0	0	0
ENST00000217086	0	0	0	0	0	0	0	0
ENST00000217109	0	0	0	0	0	0	0	0
ENST00000217121	0	0	0	0	0	0	0	0
ENST00000217131	0	0	0	0	0	0	0	0
ENST00000217133	0	0	0	1	0	0	0	0.221729490022173
ENST00000217159	0	0	1	0	0	0	0.144300144300144	0
ENST00000217169	0	0	0	1	0	0	0	0.338983050847458
ENST00000217173	0	0	0	0	0	0	0	0
ENST00000217182	0	0	0	0	0	0	0	0
ENST00000217195	0	0	0	0	0	0	0	0
ENST00000217244	0	0	0	0	0	0	0	0
ENST00000217260	0	0	0	0	0	0	0	0
ENST00000217270	1	0	0	0	0.260416666666667	0	0	0
ENST00000217289	0	0	0	0	0	0	0	0
ENST00000217381	0	0	0	0	0	0	0	0
ENST00000217402	0	0	0	0	0	0	0	0
ENST00000217420	0	0	0	0	0	0	0	0
ENST00000217428	0	0	0	0	0	0	0	0
ENST00000217446	0	0	0	0	0	0	0	0
ENST00000217455	0	0	0	0	0	0	0	0
ENST00000217456	0	0	0	0	0	0	0	0
ENST00000217515	0	0	0	0	0	0	0	0
ENST00000217901	0	0	0	0	0	0	0	0
ENST00000217909	0	0	0	0	0	0	0	0
ENST00000217958	0	0	0	0	0	0	0	0
ENST00000218004	0	0	0	0	0	0	0	0
ENST00000218006	0	0	0	0	0	0	0	0
ENST00000218008	0	0	0	0	0	0	0	0
ENST00000218056	0	0	0	0	0	0	0	0
ENST00000218075	0	0	0	0	0	0	0	0
ENST00000218089	0	0	0	0	0	0	0	0
ENST00000218099	0	0	0	0	0	0	0	0
ENST00000218104	0	0	0	0	0	0	0	0
ENST00000218147	0	0	0	0	0	0	0	0
ENST00000218176	0	0	0	0	0	0	0	0
ENST00000218230	0	0	0	0	0	0	0	0
ENST00000218316	0	0	0	0	0	0	0	0
ENST00000218340	0	0	0	0	0	0	0	0
ENST00000218348	0	0	0	0	0	0	0	0
ENST00000218388	0	0	0	0	0	0	0	0
ENST00000218436	0	0	0	2	0	0	0	0.193986420950533
ENST00000218721	1	0	0	0	0.244498777506112	0	0	0
ENST00000219022	0	1	0	0	0	0.197628458498024	0	0
ENST00000219066	0	0	0	0	0	0	0	0
ENST00000219069	0	0	0	0	0	0	0	0
ENST00000219070	1	0	0	0	0.170068027210884	0	0	0
ENST00000219139	0	0	0	0	0	0	0	0
ENST00000219150	0	0	0	0	0	0	0	0
ENST00000219162	0	0	0	0	0	0	0	0
ENST00000219169	0	0	0	0	0	0	0	0
ENST00000219197	0	0	0	0	0	0	0	0
ENST00000219207	0	0	0	0	0	0	0	0
ENST00000219235	0	0	0	0	0	0	0	0
ENST00000219240	0	0	0	0	0	0	0	0
ENST00000219252	0	0	0	0	0	0	0	0
ENST00000219255	0	0	0	0	0	0	0	0
ENST00000219271	0	0	0	0	0	0	0	0
ENST00000219281	0	0	0	1	0	0	0	0.432900432900433
ENST00000219299	0	0	0	0	0	0	0	0
ENST00000219302	0	0	0	0	0	0	0	0
ENST00000219313	0	0	0	0	0	0	0	0
ENST00000219315	0	0	0	0	0	0	0	0
ENST00000219343	0	0	0	0	0	0	0	0
ENST00000219345	0	0	0	0	0	0	0	0
ENST00000219368	0	0	0	0	0	0	0	0
ENST00000219439	0	0	0	0	0	0	0	0
ENST00000219481	0	0	1	0	0	0	0.377358490566038	0
ENST00000219548	0	0	0	0	0	0	0	0
ENST00000219551	0	0	0	0	0	0	0	0
ENST00000219596	0	0	0	2	0	0	0	0.256081946222791
ENST00000219611	0	0	0	1	0	0	0	0.176991150442478
ENST00000219660	0	0	0	1	0	0	0	0.40650406504065
ENST00000219689	0	0	0	0	0	0	0	0
ENST00000219746	0	0	0	0	0	0	0	0
ENST00000219833	0	0	0	0	0	0	0	0
ENST00000219837	0	1	0	0	0	0.218818380743982	0	0
ENST00000219905	0	1	0	0	0	0.03604902667628	0	0
ENST00000219919	2	1	0	0	0.677966101694915	0.338983050847458	0	0
ENST00000220058	0	0	0	0	0	0	0	0
ENST00000220062	0	0	0	0	0	0	0	0
ENST00000220166	0	0	0	0	0	0	0	0
ENST00000220244	0	0	0	2	0	0	0	0.149476831091181
ENST00000220325	0	0	0	0	0	0	0	0
ENST00000220429	0	0	0	0	0	0	0	0
ENST00000220478	0	0	0	0	0	0	0	0
ENST00000220496	0	0	0	0	0	0	0	0
ENST00000220509	0	0	0	0	0	0	0	0
ENST00000220514	0	0	0	0	0	0	0	0
ENST00000220562	0	0	0	0	0	0	0	0
ENST00000220592	0	0	0	0	0	0	0	0
ENST00000220616	4	0	1	0	0.148533234311177	0	0.037133308577794	0
ENST00000220659	0	0	0	0	0	0	0	0
ENST00000220669	0	0	0	0	0	0	0	0
ENST00000220676	1	0	0	1	0.049358341559724	0	0	0.049358341559724
ENST00000220751	0	0	0	0	0	0	0	0
ENST00000220763	0	0	0	0	0	0	0	0
ENST00000220764	0	0	0	0	0	0	0	0
ENST00000220772	0	0	0	0	0	0	0	0
ENST00000220809	0	1	0	0	0	0.178571428571429	0	0
ENST00000220812	1	0	0	0	0.446428571428571	0	0	0
ENST00000220822	0	0	0	0	0	0	0	0
ENST00000220849	0	0	0	0	0	0	0	0
ENST00000220853	0	0	0	0	0	0	0	0
ENST00000220966	0	0	0	0	0	0	0	0
ENST00000221114	0	0	0	0	0	0	0	0
ENST00000221130	1	1	0	0	0.202839756592292	0.202839756592292	0	0
ENST00000221138	0	0	0	0	0	0	0	0
ENST00000221200	0	0	0	0	0	0	0	0
ENST00000221232	0	0	0	0	0	0	0	0
ENST00000221233	0	0	0	1	0	0	0	0.425531914893617
ENST00000221265	0	0	0	0	0	0	0	0
ENST00000221327	0	0	0	1	0	0	0	0.156985871271586
ENST00000221399	0	1	0	1	0	0.321543408360129	0	0.321543408360129
ENST00000221403	0	0	0	0	0	0	0	0
ENST00000221455	1	0	0	0	0.173611111111111	0	0	0
ENST00000221462	0	0	0	0	0	0	0	0
ENST00000221480	0	0	0	0	0	0	0	0
ENST00000221485	0	0	0	0	0	0	0	0
ENST00000221486	1	0	0	0	0.337837837837838	0	0	0
ENST00000221494	0	0	0	0	0	0	0	0
ENST00000221496	1	0	0	0	0.293255131964809	0	0	0
ENST00000221498	0	0	0	0	0	0	0	0
ENST00000221515	0	1	0	1	0	0.925925925925926	0	0.925925925925926
ENST00000221538	0	0	0	0	0	0	0	0
ENST00000221543	0	0	0	1	0	0	0	0.165289256198347
ENST00000221566	0	0	0	0	0	0	0	0
ENST00000221573	0	0	0	0	0	0	0	0
ENST00000221671	0	1	0	0	0	0.153139356814701	0	0
ENST00000221730	0	0	0	0	0	0	0	0
ENST00000221801	0	0	0	0	0	0	0	0
ENST00000221847	0	0	0	0	0	0	0	0
ENST00000221856	0	0	0	0	0	0	0	0
ENST00000221859	0	0	0	0	0	0	0	0
ENST00000221891	1	0	0	0	0.154083204930663	0	0	0
ENST00000221930	0	0	0	0	0	0	0	0
ENST00000221973	1	0	0	0	0.523560209424084	0	0	0
ENST00000221978	0	0	0	1	0	0	0	0.617283950617284
ENST00000222002	0	0	0	0	0	0	0	0
ENST00000222005	0	0	0	0	0	0	0	0
ENST00000222008	0	0	0	0	0	0	0	0
ENST00000222032	0	0	0	0	0	0	0	0
ENST00000222120	0	0	0	0	0	0	0	0
ENST00000222122	0	1	0	0	0	0.380228136882129	0	0
ENST00000222139	1	0	0	0	0.213219616204691	0	0	0
ENST00000222145	2	0	0	0	0.224466891133558	0	0	0
ENST00000222219	0	0	0	0	0	0	0	0
ENST00000222224	0	0	0	0	0	0	0	0
ENST00000222247	0	0	0	0	0	0	0	0
ENST00000222248	0	0	0	0	0	0	0	0
ENST00000222250	0	0	0	0	0	0	0	0
ENST00000222254	0	0	0	0	0	0	0	0
ENST00000222266	0	0	0	0	0	0	0	0
ENST00000222284	0	0	0	0	0	0	0	0
ENST00000222286	1	0	0	0	0.245098039215686	0	0	0
ENST00000222339	0	0	0	0	0	0	0	0
ENST00000222345	0	0	0	0	0	0	0	0
ENST00000222374	0	0	0	0	0	0	0	0
ENST00000222388	0	0	0	0	0	0	0	0
ENST00000222390	0	0	0	0	0	0	0	0
ENST00000222402	0	0	0	0	0	0	0	0
ENST00000222462	0	0	0	0	0	0	0	0
ENST00000222511	0	0	0	1	0	0	0	0.258397932816537
ENST00000222553	0	0	0	0	0	0	0	0
ENST00000222567	0	1	0	0	0	0.320512820512821	0	0
ENST00000222573	0	0	0	0	0	0	0	0
ENST00000222644	0	0	0	0	0	0	0	0
ENST00000222674	1	0	0	0	0.510204081632653	0	0	0
ENST00000222725	0	0	0	0	0	0	0	0
ENST00000222747	0	0	0	0	0	0	0	0
ENST00000222800	0	0	0	0	0	0	0	0
ENST00000222803	0	0	0	0	0	0	0	0
ENST00000222823	1	0	0	0	0.104931794333683	0	0	0
ENST00000222902	0	0	0	0	0	0	0	0
ENST00000222990	0	0	0	0	0	0	0	0
ENST00000223023	0	0	0	0	0	0	0	0
ENST00000223029	0	0	1	0	0	0	0.313479623824451	0
ENST00000223051	0	0	0	0	0	0	0	0
ENST00000223061	0	0	0	0	0	0	0	0
ENST00000223073	0	0	0	0	0	0	0	0
ENST00000223095	0	0	0	0	0	0	0	0
ENST00000223129	0	0	0	0	0	0	0	0
ENST00000223145	0	0	0	0	0	0	0	0
ENST00000223167	0	0	0	0	0	0	0	0
ENST00000223208	0	0	0	0	0	0	0	0
ENST00000223215	0	0	0	0	0	0	0	0
ENST00000223273	0	0	0	0	0	0	0	0
ENST00000223321	0	0	0	0	0	0	0	0
ENST00000223324	0	0	0	0	0	0	0	0
ENST00000223336	1	0	0	0	0.684931506849315	0	0	0
ENST00000223369	0	0	0	0	0	0	0	0
ENST00000223398	0	0	0	0	0	0	0	0
ENST00000223500	0	0	0	0	0	0	0	0
ENST00000223641	0	0	0	0	0	0	0	0
ENST00000223642	4	2	1	0	0.252206809583859	0.126103404791929	0.063051702395965	0
ENST00000223836	0	0	0	0	0	0	0	0
ENST00000223864	0	0	0	0	0	0	0	0
ENST00000224073	0	0	0	0	0	0	0	0
ENST00000224140	2	0	0	2	0.079649542015133	0	0	0.079649542015133
ENST00000224337	0	0	0	0	0	0	0	0
ENST00000224652	0	0	0	0	0	0	0	0
ENST00000224807	0	0	0	1	0	0	0	0.324675324675325
ENST00000224862	0	0	0	0	0	0	0	0
ENST00000224950	0	0	0	0	0	0	0	0
ENST00000225174	0	0	0	0	0	0	0	0
ENST00000225296	2	0	0	0	0.495049504950495	0	0	0
ENST00000225298	0	0	0	0	0	0	0	0
ENST00000225387	0	0	0	0	0	0	0	0
ENST00000225388	0	0	0	0	0	0	0	0
ENST00000225474	0	0	0	0	0	0	0	0
ENST00000225504	0	0	0	0	0	0	0	0
ENST00000225519	0	0	0	0	0	0	0	0
ENST00000225525	0	0	0	0	0	0	0	0
ENST00000225609	0	0	1	0	0	0	0.396825396825397	0
ENST00000225614	0	0	0	0	0	0	0	0
ENST00000225665	0	0	0	0	0	0	0	0
ENST00000225688	0	0	0	0	0	0	0	0
ENST00000225698	0	0	0	0	0	0	0	0
ENST00000225719	0	0	0	0	0	0	0	0
ENST00000225726	0	0	0	0	0	0	0	0
ENST00000225729	0	0	0	0	0	0	0	0
ENST00000225792	0	0	0	0	0	0	0	0
ENST00000225873	0	0	0	0	0	0	0	0
ENST00000225927	0	1	0	0	0	0.157728706624606	0	0
ENST00000225941	0	0	0	0	0	0	0	0
ENST00000225964	0	0	0	0	0	0	0	0
ENST00000225969	0	0	0	0	0	0	0	0
